the_index,Title,DomesticTotalGross,RunTime,ReleaseDate,Director,ProductionBudget,InRelease,MpaaRating,Distributor,Genre,Nominations,Wins,IntDayOfTheYear,IntMonthOfTheYear,DayOfTheYear^2,OpeningGross,OpeningRank,OpeningRatio,GenreMap_Comedy
http://www.boxofficemojo.com/movies/?id=mi2.htm,Mission: Impossible II,215409889.0,123.0,2000-05-24,John Woo,125000000.0,149,PG-13,Paramount,Action,0,0,145,5,21025,57845297.0,1.0,26.853593987043,0
http://www.boxofficemojo.com/movies/?id=monstersinc.htm,"Monsters, Inc.",255873250.0,90.0,2001-11-02,Pete DocterDavid Silverman (co-director)Lee Unkrich,115000000.0,329,G,Buena Vista,Animation,3,1,306,11,93636,62577067.0,1.0,24.456275519226804,0
http://www.boxofficemojo.com/movies/?id=mummyreturns.htm,The Mummy Returns,202019785.0,130.0,2001-05-04,Stephen Sommers,98000000.0,154,PG-13,Universal,Period Adventure,0,0,124,5,15376,68139035.0,1.0,33.72889194986521,0
http://www.boxofficemojo.com/movies/?id=musketeer.htm,The Musketeer,27073640.0,104.0,2001-09-07,Peter Hyams,40000000.0,49,PG-13,Universal,Period Action,0,0,250,9,62500,10312740.0,1.0,38.09144245103355,0
http://www.boxofficemojo.com/movies/?id=nuttyprofessor2.htm,The Nutty Professor II: The Klumps,123309890.0,106.0,2000-07-28,Peter Segal,84000000.0,161,PG-13,Universal,Comedy,0,0,210,7,44100,42518830.0,1.0,34.48128126624717,1
http://www.boxofficemojo.com/movies/?id=patriot.htm,The Patriot,113330342.0,164.0,2000-06-28,Roland Emmerich,110000000.0,110,R,Sony / Columbia,War,3,0,180,6,32400,22413710.0,2.0,19.777324946217846,0
http://www.boxofficemojo.com/movies/?id=princessdiaries.htm,The Princess Diaries,108248956.0,114.0,2001-08-03,Garry Marshall,26000000.0,168,G,Buena Vista,Family Comedy,0,0,215,8,46225,22862269.0,3.0,21.120082673129893,1
http://www.boxofficemojo.com/movies/?id=roadtoeldorado.htm,The Road to El Dorado,50863742.0,99.0,2000-03-31,Will FinnDavid Silverman,95000000.0,91,PG,DreamWorks,Animation,0,0,91,3,8281,12846652.0,2.0,25.25699347877315,0
http://www.boxofficemojo.com/movies/?id=roadtrip.htm,Road Trip,68540777.0,94.0,2000-05-19,Todd Phillips,16000000.0,112,R,DreamWorks,Comedy,0,0,140,5,19600,15484004.0,3.0,22.590937362732262,1
http://www.boxofficemojo.com/movies/?id=romeomustdie.htm,Romeo Must Die,55973336.0,115.0,2000-03-22,Andrzej Bartkowiak,25000000.0,89,R,Warner Bros.,Action,0,0,82,3,6724,18014503.0,2.0,32.184079576747045,0
http://www.boxofficemojo.com/movies/?id=seespotrun.htm,See Spot Run,33357476.0,94.0,2001-03-02,John Whitesell,35000000.0,73,PG,Warner Bros.,Family Comedy,0,0,61,3,3721,9715102.0,3.0,29.12421191579363,1
http://www.boxofficemojo.com/movies/?id=shallowhal.htm,Shallow Hal,70839203.0,113.0,2001-11-09,The Farrelly Bros.,40000000.0,147,PG-13,Fox,Fantasy Comedy,0,0,313,11,97969,22518295.0,2.0,31.787899985266634,1
http://www.boxofficemojo.com/movies/?id=shrek.htm,Shrek,267665011.0,90.0,2001-05-16,Andrew AdamsonVicky Jenson,60000000.0,205,PG,DreamWorks,Animation,1,0,136,5,18496,42347760.0,1.0,15.821178809209396,0
http://www.boxofficemojo.com/movies/?id=skulls.htm,The Skulls,35046120.0,107.0,2000-03-31,Rob Cohen,35000000.0,63,PG-13,Universal,Thriller,0,0,91,3,8281,11034885.0,3.0,31.486752313808203,0
http://www.boxofficemojo.com/movies/?id=spygame.htm,Spy Game,62362560.0,126.0,2001-11-21,Tony Scott,115000000.0,79,R,Universal,Action Thriller,0,0,325,11,105625,21689125.0,3.0,34.77908058937927,0
http://www.boxofficemojo.com/movies/?id=starwars.htm,Star Wars: Episode I - The Phantom Menace,431088295.0,133.0,1999-05-19,George Lucas,115000000.0,261,PG,Fox,Sci-Fi Fantasy,3,0,139,5,19321,64820970.0,1.0,15.036587806217286,0
http://www.boxofficemojo.com/movies/?id=swordfish.htm,Swordfish,69772969.0,99.0,2001-06-08,Dominic Sena,102000000.0,101,R,Warner Bros.,Action,0,0,159,6,25281,18145632.0,1.0,26.006678890216065,0
http://www.boxofficemojo.com/movies/?id=twocanplaythatgame.htm,Two Can Play That Game,22235901.0,91.0,2001-09-07,Mark Brown,13000000.0,52,R,Sony / Screen Gems,Romantic Comedy,0,0,250,9,62500,7720942.0,2.0,34.722865513747344,0
http://www.boxofficemojo.com/movies/?id=weddingplanner.htm,The Wedding Planner,60400856.0,104.0,2001-01-26,Adam Shankman,35000000.0,94,PG-13,Sony / Columbia,Romantic Comedy,0,0,26,1,676,13510293.0,1.0,22.367717768768046,0
